lot_number,product_id,produced_qty,production_date,expiry_date
H5049,AOSP000,1711,2025-07-28,2028-07-28
H5059,AOSP000,1325,2025-09-03,2028-09-03
H5063,AOSP000,288,2025-09-09,2028-09-09
H5066,AOSP000,1352,2025-09-12,2028-09-12
H5077,AOSP000,1145,2025-10-28,2028-10-28
H5080,AOSP000,776,2025-10-28,2028-10-28
H5080,AOSP000,497,2025-10-29,2028-10-29
H5066,AOSP000,42,2025-11-11,2028-11-11
H5092,AOSP000,384,2025-11-19,2028-11-19
H5092,AOSP000,923,2025-11-20,2028-11-20
H5093,AOSP000,1307,2025-11-20,2028-11-20
H5077,AOSP000,34,2025-11-20,2028-11-20
H5093,AOSP000,240,2025-12-01,2028-12-01
H5107,AOSP000,960,2025-12-09,2028-12-09
H5107,AOSP000,355,2025-12-10,2028-12-10
H5031,AOSP002,770,2025-05-09,2028-05-09
H5031,AOSP002,1172,2025-05-12,2028-05-12
H5044,AOSP002,630,2025-07-07,2028-07-07
H5044,AOSP002,1318,2025-07-08,2028-07-08
H5048,AOSP002,1957,2025-07-29,2028-07-29
H5048,AOSP002,154,2025-10-31,2028-10-31
H5048,AOSP002,126,2025-11-13,2028-11-13
H5096,AOSP002,1325,2025-11-21,2028-11-21
H5060,AOSP003,916,2025-09-02,2028-09-02
H5060,AOSP003,105,2025-09-15,2028-09-15
H5060,AOSP003,42,2025-10-31,2028-10-31
H5060,AOSP003,126,2025-12-10,2028-12-10
H5024,AOSP004,1295,2025-04-16,2028-04-16
H5083,AOSP004,144,2025-11-05,2028-11-05
H5083,AOSP004,1104,2025-11-05,2028-11-05
H5102,AOSP004,724,2025-11-27,2028-11-27
H5109,AOSP004,1320,2025-12-15,2028-12-15
H5110,AOSP004,1135,2025-12-15,2028-12-15
H5063,AOSPM00,302,2025-09-09,2028-09-09
H5063,AOSPM00,302,2025-09-09,2028-09-09
H5077,AOSPM00,523,2025-10-28,2028-10-28
H5077,AOSPM00,523,2025-10-28,2028-10-28
B5093,AOWS000,281,2025-05-15,2028-05-15
B5242,AOWS000,254,2025-09-30,2028-09-30
C5190,BBHC023,10500,2025-08-20,2028-08-20
C5191,BBHC023,9820,2025-08-20,2028-08-20
C5186,BBHC024,13266,2025-08-18,2028-08-18
C5189,BBHC025,13326,2025-08-18,2028-08-18
A10Y01,BDFM001,2200,2025-06-05,2028-06-05
D29YD2,BDFM001,1200,2025-08-08,2028-08-08
D29Y02,BDFM001,0,2025-10-16,2028-10-16
D29Y02,BDFM001,1200,2025-11-12,2028-11-12
S4059,BDFS001,140,2025-06-02,2028-06-02
S5113,BDFS001,1163,2025-06-30,2028-06-30
S5113,BDFS001,70,2025-10-22,2028-10-22
B5026,BTBC004,233,2025-04-07,2028-04-07
