Lot No,prdcode,QTY,DATE
S5099,FJSL002,2030,"Jun 13, 2025 12:00 AM"
C5147,FJPGM02,2430,"Jun 13, 2025 12:00 AM"
S5100,RMSCN10,3618,"Jun 17, 2025 12:00 AM"
S5098,FJSL002,1260,"Jun 12, 2025 12:00 AM"
S5098,FJSL002,690,"Jun 13, 2025 12:00 AM"
C5150,FJSC002,3168,"Jun 16, 2025 12:00 AM"
C5147,FJPGM02,3965,"Jun 16, 2025 12:00 AM"
S5101,RMSCN10,1014,"Jun 19, 2025 12:00 AM"
S5105,FJSL001,1950,"Jun 20, 2025 12:00 AM"
C5150,FJSC002,3360,"Jun 17, 2025 12:00 AM"
E5024,FJAP001,1643,"Jun 16, 2025 12:00 AM"
B5111,BTBC008,1656,"Jun 16, 2025 12:00 AM"
S5096,FJPDR01,228,"Jun 16, 2025 12:00 AM"
S5104,RMSC003,3001,"Jun 19, 2025 12:00 AM"
S5097,FJSL006,350,"Jun 17, 2025 12:00 AM"
S5100,RMSCN10,2481,"Jun 18, 2025 12:00 AM"
E5025,FJLM002,2002,"Jun 20, 2025 12:00 AM"
M5072,ADML000,1000,"Jun 18, 2025 12:00 AM"
M5073,ADML000,1000,"Jun 18, 2025 12:00 AM"
M5074,ADML000,1000,"Jun 18, 2025 12:00 AM"
S5101,RMSCN10,5040,"Jun 18, 2025 12:00 AM"
M5075,ADML000,1000,"Jun 19, 2025 12:00 AM"
M5076,ADML000,1000,"Jun 19, 2025 12:00 AM"
S5102,RMSCN10,4661,"Jun 19, 2025 12:00 AM"
S5150,FJSC002,3003,"Jun 19, 2025 12:00 AM"
C5151,FJCR004,3353,"Jun 24, 2025 12:00 AM"
C5146,FJMK007,5151,"Jun 20, 2025 12:00 AM"
E5023,FJES001,336,"Jun 19, 2025 12:00 AM"
B5118,RPBC004,1967,"Jun 19, 2025 12:00 AM"
S5106,FJSL001,1110,"Jun 20, 2025 12:00 AM"
B5114,BTBC004,1216,"Jun 20, 2025 12:00 AM"
B5115,BTBC004,701,"Jun 20, 2025 12:00 AM"
E5027,AOHSR00,904,"Jun 20, 2025 12:00 AM"
S5097,FJSL006,1369,"Jun 23, 2025 12:00 AM"
C5149,FJFC004,752,"Jun 23, 2025 12:00 AM"
C5148,FJFC003,564,"Jun 24, 2025 12:00 AM"
S5107,FJSL001,1973,"Jun 23, 2025 12:00 AM"
B5119,AOBC004,631,"Jun 23, 2025 12:00 AM"
M5077,AOBL004,747,"Jun 23, 2025 12:00 AM"
E5026,FJAP005,864,"Jun 23, 2025 12:00 AM"
C5149,FJFC004,2423,"Jun 24, 2025 12:00 AM"
C5152,FJMK004,204,"Jun 27, 2025 12:00 AM"
H5040,CCHP001,1344,"Jun 30, 2025 12:00 AM"
B5113,ILWS002,3000,"Jun 25, 2025 12:00 AM"
C5148,FJFC003,3583,"Jun 25, 2025 12:00 AM"
C5131,FJBB001,192,"Jun 25, 2025 12:00 AM"
M5078,AOBL000,684,"Jun 25, 2025 12:00 AM"
M5079,AOBL000,684,"Jun 25, 2025 12:00 AM"
H5038,AORS000,694,"Jun 25, 2025 12:00 AM"
B5120,SBMPR07,965,"Jun 25, 2025 12:00 AM"
E5023,FJES001,336,"Jun 26, 2025 12:00 AM"
B5121,ILWS004,3000,"Jun 27, 2025 12:00 AM"
E5023,FJES001,1372,"Jun 24, 2025 12:00 AM"
S5108,RRBM004,1680,"Jun 25, 2025 12:00 AM"
H5040,CCHPM01,3150,"Jun 27, 2025 12:00 AM"
S5041,CCSPM04,3150,"Jun 26, 2025 12:00 AM"
C5131,FJBB001,480,"Jun 26, 2025 12:00 AM"
S5108,RRBM004,368,"Jun 26, 2025 12:00 AM"
S5110,RRBM006,2014,"Jun 26, 2025 12:00 AM"
S5111,RRBM001,2061,"Jun 26, 2025 12:00 AM"
B5123,BTBO001,1190,"Jun 26, 2025 12:00 AM"
M5080,ADML000,1010,"Jun 26, 2025 12:00 AM"
B5117,PDBC004,948,"Jun 26, 2025 12:00 AM"
M5081,ADML000,430,"Jun 26, 2025 12:00 AM"
B5122,PDIR003,1714,"Jun 26, 2025 12:00 AM"
B5116,RABD2T1,1256,"Jun 27, 2025 12:00 AM"
E5023,FJES001,630,"Jun 27, 2025 12:00 AM"
H5041,CCSP004,1687,"Jun 27, 2025 12:00 AM"
B5127,PDIR004,2043,"Jun 27, 2025 12:00 AM"
M5081,ADML000,580,"Jun 27, 2025 12:00 AM"
M5082,ADML000,1010,"Jun 27, 2025 12:00 AM"
M5083,ADML000,1010,"Jun 27, 2025 12:00 AM"
C5152,FJMK004,4304,"Jun 30, 2025 12:00 AM"
E5025,FJLM002,1144,"Jun 30, 2025 12:00 AM"
S5114,RRBM002,480,"Jun 30, 2025 12:00 AM"
S5112,RRBM010,2064,"Jun 30, 2025 12:00 AM"
