Lot No,DATE
B5141,2025.7.22 0:00
B5141,2025.7.22 0:00
B5142,2025.7.18 0:00
B5142,2025.7.22 0:00
B5142,2025.7.22 0:00
B5143,2025.7.15 0:00
B5143,2025.7.16 0:00
B5143,2025.7.16 0:00
B5144,2025.7.15 0:00
B5144,2025.7.16 0:00
B5144,2025.7.16 0:00
B5145,2025.7.16 0:00
B5145,2025.7.17 0:00
B5145,2025.7.17 0:00
B5146,2025.7.16 0:00
B5146,2025.7.28 0:00
B5146,2025.7.28 0:00
B5147,2025.7.17 0:00
B5147,2025.7.22 0:00
B5147,2025.7.22 0:00
B5147,2025.8.6 0:00
B5148,2025.7.17 0:00
B5148,2025.7.23 0:00
B5148,2025.9.16 0:00
B5149,2025.7.21 0:00
B5149,2025.7.22 0:00
B5149,2025.7.22 0:00
B5150,2025.7.21 0:00
B5150,2025.7.23 0:00
B5150,2025.7.23 0:00
B5150,2025.7.25 0:00
B5150,2025.7.29 0:00
B5151,2025.7.22 0:00
B5151,2025.7.23 0:00
B5151,2025.7.24 0:00
B5152,2025.7.24 0:00
B5152,2025.7.29 0:00
B5152,2025.7.29 0:00
B5152,2025.8.4 0:00
B5152,2025.8.4 0:00
B5153,2025.7.25 0:00
B5153,2025.8.4 0:00
B5153,2025.8.4 0:00
B5153,2025.8.4 0:00
B5153,2025.8.5 0:00
B5153,2025.8.5 0:00
B5154,2025.7.25 0:00
B5154,2025.8.4 0:00
B5154,2025.8.4 0:00
B5155,2025.7.29 0:00
B5155,2025.8.5 0:00
B5155,2025.8.5 0:00
B5156,2025.7.29 0:00
B5156,2025.8.5 0:00
B5156,2025.8.5 0:00
B5157,2025.7.29 0:00
B5157,2025.8.4 0:00
B5157,2025.8.5 0:00
B5157,2025.11.12 0:00
B5158,2025.8.5 0:00
B5158,2025.8.8 0:00
B5158,2025.8.8 0:00
B5159,2025.8.5 0:00
B5159,2025.8.8 0:00
B5159,2025.8.8 0:00
B5159,2025.8.11 0:00
B5159,2025.8.11 0:00
B5160,2025.8.4 0:00
B5160,2025.9.30 0:00
B5160,2025.11.6 0:00
B5160,2025.8.28 0:00
B5161,2025.8.7 0:00
B5161,2025.8.11 0:00
B5161,2025.8.11 0:00
B5162,2025.8.8 0:00
B5162,2025.8.12 0:00
B5162,2025.8.12 0:00
B5162,2025.9.30 0:00
B5162,2025.10.1 0:00
B5163,2025.8.11 0:00
B5163,2025.8.12 0:00
B5163,2025.8.13 0:00
B5163,2025.8.12 0:00
B5163,2025.8.13 0:00
B5164,2025.8.13 0:00
B5164,2025.8.14 0:00
B5164,2025.8.14 0:00
B5164,2025.12.5 0:00
B5165,2025.8.13 0:00
B5165,2025.8.14 0:00
B5165,2025.8.14 0:00
B5166,2025.8.19 0:00
B5166,2025.8.20 0:00
B5166,2025.8.20 0:00
B5167,2025.8.22 0:00
B5167,2025.8.25 0:00
B5167,2025.8.28 0:00
B5168,2025.8.20 0:00
B5168,2025.8.26 0:00
B5168,2025.8.26 0:00
B5169,2025.8.21 0:00
B5170,2025.8.21 0:00
B5171,2025.8.22 0:00
B5171,2025.8.27 0:00
B5171,2025.8.26 0:00
B5171/72,2025.8.26 0:00
B5172,2025.8.22 0:00
B5173,2025.8.25 0:00
B5173,2025.8.28 0:00
B5173,2025.8.28 0:00
B5174,2025.8.25 0:00
B5174,2025.8.28 0:00
B5174,2025.8.28 0:00
B5199,2025.8.25 0:00
B5199,2025.8.29 0:00
B5199,2025.8.29 0:00
B5199,2025.9.3 0:00
B5199,2025.9.3 0:00
B5199,2025.9.30 0:00
B5199,2025.9.30 0:00
B5199,2025.9.30 0:00
B5199,2025.10.27 0:00
B5200,2025.8.26 0:00
B5201,2025.8.26 0:00
B5201,2025.8.27 0:00
B5201,2025.8.27 0:00
B5201,2025.8.28 0:00
B5202,2025.8.27 0:00
B5202,2025.8.29 0:00
B5202,2025.8.29 0:00
B5203,2025.8.27 0:00
B5203,2025.8.29 0:00
B5203,2025.8.29 0:00
B5203,2025.9.3 0:00
B5203,2025.9.3 0:00
B5204,2025.8.28 0:00
B5204,2025.9.1 0:00
B5204,2025.9.1 0:00
B5204,2025.11.12 0:00
B5205,2025.9.1 0:00
B5205,2025.9.3 0:00
B5205,2025.9.3 0:00
B5207,2025.8.29 0:00
B5207,2025.9.1 0:00
B5207,2025.9.1 0:00
B5208,2025.9.2 0:00
B5208,2025.9.4 0:00
B5208,2025.9.4 0:00
B5208,2025.9.15 0:00
B5208,2025.9.15 0:00
B5209,2025.9.2 0:00
B5209,2025.9.4 0:00
B5209,2025.9.4 0:00
B5209,2025.9.5 0:00
B5209,2025.9.5 0:00
B5209,2025.9.17 0:00
B5209,2025.9.16 0:00
B5209,2025.9.16 0:00
B5209,2025.9.16 0:00
B5209,2025.9.17 0:00
B5210,2025.9.3 0:00
B5210,2025.9.5 0:00
B5210,2025.9.5 0:00
B5210,2025.9.16 0:00
B5211,2025.9.3 0:00
B5211,2025.9.8 0:00
B5211,2025.9.8 0:00
B5212,2025.9.3 0:00
B5212,2025.9.5 0:00
B5212,2025.9.5 0:00
B5212,2025.9.8 0:00
B5213,2025.9.2 0:00
B5214,2025.9.5 0:00
B5214,2025.9.8 0:00
B5214,2025.9.8 0:00
B5215,2025.9.8 0:00
B5215,2025.9.9 0:00
B5215,2025.9.9 0:00
B5216,2025.9.5 0:00
B5216,2025.9.8 0:00
B5216,2025.9.8 0:00
B5217,2025.9.9 0:00
B5217,2025.9.10 0:00
B5217,2025.9.10 0:00
B5218,2025.9.9 0:00
B5218,2025.9.10 0:00
B5218,2025.9.10 0:00
B5219,2025.9.11 0:00
B5220,2025.9.12 0:00
B5220,2025.9.19 0:00
B5220,2025.9.19 0:00
B5220,2025.11.5 0:00
B5220,2025.11.17 0:00
B5221,2025.9.16 0:00
B5221,2025.9.23 0:00
B5221,2025.9.23 0:00
B5222,2025.9.16 0:00
B5222,2025.9.23 0:00
B5222,2025.9.23 0:00
B5223,2025.9.17 0:00
B5223,2025.9.19 0:00
B5223,2025.9.19 0:00
B5223,2025.9.23 0:00
B5223,2025.9.23 0:00
B5223,2025.9.23 0:00
B5224,2025.9.17 0:00
B5224,2025.9.23 0:00
B5225,2025.9.18 0:00
B5225,2025.9.23 0:00
B5225,2025.9.24 0:00
B5226,2025.9.18 0:00
B5226,2025.9.24 0:00
B5226,2025.9.29 0:00
B5226,2025.9.29 0:00
B5227,2025.9.19 0:00
B5227,2025.9.29 0:00
B5228,2025.9.19 0:00
B5228,2025.9.30 0:00
B5229,2025.9.22 0:00
B5229,2025.9.26 0:00
B5229,2025.9.30 0:00
B5229,2025.9.30 0:00
B5230,2025.9.22 0:00
B5230,2025.9.30 0:00
B5230,2025.9.30 0:00
B5231,2025.9.22 0:00
B5231,2025.9.24 0:00
B5231,2025.9.25 0:00
B5231,2025.9.25 0:00
B5232,2025.9.22 0:00
B5232,2025.9.25 0:00
B5233,2025.9.23 0:00
B5233,2025.9.24 0:00
B5233,2025.9.24 0:00
B5234,2025.9.23 0:00
B5234,2025.9.25 0:00
B5234,2025.9.24 0:00
B5234,2025.9.24 0:00
B5234,2025.9.25 0:00
B5235,2025.9.24 0:00
B5235,2025.9.25 0:00
B5235,2025.9.25 0:00
B5236,2025.9.24 0:00
B5237,2025.9.25 0:00
B5238,2025.9.25 0:00
B5238,2025.9.26 0:00
B5238,2025.9.26 0:00
B5239,2025.9.25 0:00
B5239,2025.9.26 0:00
B5239,2025.9.26 0:00
B5239,2025.10.23 0:00
B5240,2025.9.26 0:00
B5240,2025.9.29 0:00
B5240,2025.9.29 0:00
B5241,2025.9.26 0:00
B5241,2025.9.29 0:00
B5241,2025.9.29 0:00
B5242,2025.9.29 0:00
B5242,2025.9.30 0:00
B5242,2025.9.30 0:00
B5243,2025.9.30 0:00
B5243,2025.10.10 0:00
B5243,2025.10.13 0:00
B5244,2025.9.30 0:00
B5244,2025.10.1 0:00
B5244,2025.10.1 0:00
B5245,2025.9.30 0:00
B5245,2025.10.1 0:00
B5245,2025.10.1 0:00
B5246,2025.9.30 0:00
B5246,2025.10.1 0:00
B5246,2025.10.1 0:00
B5247,2025.10.1 0:00
B5247,2025.10.2 0:00
B5247,2025.10.2 0:00
B5248,2025.10.1 0:00
B5248,2025.10.2 0:00
B5248,2025.10.2 0:00
B5249,2025.10.2 0:00
B5249,2025.10.13 0:00
B5249,2025.10.13 0:00
B5249,2025.12.1 0:00
B5249,2025.12.11 0:00
B5249,2025.12.11 0:00
B5249,2025.12.12 0:00
B5250,2025.10.13 0:00
B5250,2025.10.2 0:00
B5251,2025.10.2 0:00
B5252,2025.10.10 0:00
B5252,2025.10.10 0:00
B5252,2025.10.2 0:00
B5252,2025.10.10 0:00
B5252,2025.10.28 0:00
B5252,2025.10.29 0:00
B5253,2025.10.10 0:00
B5253,2025.10.13 0:00
B5253,2025.10.13 0:00
B5253,2025.10.14 0:00
B5253,2025.10.14 0:00
B5253,2025.11.6 0:00
B5254,2025.10.10 0:00
B5254,2025.10.13 0:00
B5254,2025.10.16 0:00
B5255,2025.10.13 0:00
B5255,2025.10.14 0:00
B5255,2025.10.14 0:00
B5255,2025.10.14 0:00
B5256,2025.10.13 0:00
B5256,2025.10.14 0:00
B5256,2025.10.14 0:00
B5257,2025.10.14 0:00
B5257,2025.10.27 0:00
B5257,2025.10.27 0:00
B5258,2025.10.15 0:00
B5258,2025.10.27 0:00
B5258,2025.10.27 0:00
B5259,2025.10.15 0:00
B5259,2025.10.27 0:00
B5259,2025.10.27 0:00
B5259,2025.10.24 0:00
B5259,2025.10.24 0:00
B5259,2025.11.12 0:00
B5259,2025.11.12 0:00
B5260,2025.10.16 0:00
B5260,2025.10.17 0:00
B5260,2025.10.17 0:00
B5260,2025.10.20 0:00
B5260,2025.10.20 0:00
B5261,2025.10.16 0:00
B5261,2025.10.17 0:00
B5261,2025.10.17 0:00
B5262,2025.10.20 0:00
B5262,2025.10.22 0:00
B5262,2025.10.22 0:00
B5263,2025.10.20 0:00
B5263,2025.10.22 0:00
B5263,2025.10.22 0:00
B5263,2025.10.22 0:00
B5263,2025.10.23 0:00
B5263,2025.10.23 0:00
B5263,2025.10.23 0:00
B5264,2025.10.21 0:00
B5264,2025.10.23 0:00
B5264,2025.10.23 0:00
B5265,2025.10.21 0:00
B5265,2025.10.23 0:00
B5265,2025.10.23 0:00
B5266,2025.10.22 0:00
B5266,2025.10.23 0:00
B5266,2025.10.24 0:00
B5266,2025.10.24 0:00
B5266,2025.10.29 0:00
B5267,2025.10.22 0:00
B5267,2025.10.27 0:00
B5268,2025.10.22 0:00
B5268,2025.10.24 0:00
B5268,2025.10.24 0:00
B5268,2025.10.27 0:00
B5269,2025.8.25 0:00
B5269,2025.10.22 0:00
B5269,2025.10.23 0:00
B5269,2025.10.24 0:00
B5269,2025.8.25 0:00
B5270,2025.8.25 0:00
B5270,2025.8.25 0:00
B5270,2025.8.26 0:00
B5270,2025.8.26 0:00
B5270,2025.10.23 0:00
B5270,2025.10.28 0:00
B5270,2025.10.28 0:00
B5270,2025.10.29 0:00
B5270,2025.10.29 0:00
B5271,2025.10.23 0:00
B5271,2025.10.27 0:00
B5271,2025.10.27 0:00
B5272,2025.10.23 0:00
B5272,2025.10.24 0:00
B5272,2025.10.24 0:00
B5273,2025.10.23 0:00
B5273,2025.10.27 0:00
B5273,2025.10.27 0:00
B5274,2025.10.24 0:00
B5274,2025.10.29 0:00
B5274,2025.10.29 0:00
B5274,2025.11.11 0:00
B5275,2025.10.28 0:00
B5275,2025.11.6 0:00
B5276,2025.10.27 0:00
B5277,2025.10.27 0:00
B5278,2025.10.30 0:00
B5278,2025.10.31 0:00
B5278,2025.10.31 0:00
B5278,2025.11.3 0:00
B5278,2025.11.3 0:00
B5278,2025.12.11 0:00
B5279,2025.10.30 0:00
B5279,2025.10.31 0:00
B5280,2025.11.3 0:00
B5280,2025.11.4 0:00
B5280,2025.11.5 0:00
B5280,2025.11.5 0:00
B5281,2025.11.3 0:00
B5281,2025.11.4 0:00
B5281,2025.11.4 0:00
B5282,2025.11.4 0:00
B5282,2025.11.6 0:00
B5283,2025.11.5 0:00
B5283,2025.11.11 0:00
B5283,2025.11.11 0:00
B5284,2025.11.5 0:00
B5284,2025.11.11 0:00
B5284,2025.11.11 0:00
B5285,2025.11.6 0:00
B5285,2025.11.11 0:00
B5285,2025.11.11 0:00
B5286,2025.11.6 0:00
B5286,2025.11.12 0:00
B5286,2025.11.11 0:00
B5286,2025.11.11 0:00
B5286,2025.11.12 0:00
