Lot No,prdcode,생산 완료 수량,생산일
B5043,AOBC005,958,"Mar 25, 2025 12:00 AM"
C5080,FJCR002,8184,"Mar 21, 2025 12:00 AM"
E5010,FJLM001,1935,"Mar 21, 2025 12:00 AM"
C5079,FJCRT02,2002,"Mar 21, 2025 12:00 AM"
H5016,FJSL002,831,"Mar 24, 2025 12:00 AM"
S5053,FJSL004,1981,"Mar 24, 2025 12:00 AM"
C5084,FJFC002,5642,"Mar 25, 2025 12:00 AM"
C5081,FJMK007,4815,"Mar 25, 2025 12:00 AM"
B5050,BBTBC0040,,
B5051,BBTBC0040,,
H5019,BAORS0000,,
H5020,BAORS0000,,
B5058,BBTBC0050,,
B5059,BBTBC0050,,
C5086,BFJFC0030,,
C5087,BFJFC0040,,
S5062,BRRBM0040,,
H5020,AORS000,,
B5056,BBTBC0060,,
B5057,BBTBC0060,,
S5064,BFJSL0010,,
E5016,BFJLO0010,,
C5086,FJFC003,,
C5087,FJFC004,,
,FJSL001,,
H5021,BAOSP0000,,
B5055,BBTBC0070,,
B5060,BRLBC0010,,
B5061,BRLBC0010,,
C5088,BFJPG0020,,
B5063,BRLBC0020,,
S5069,BFJSL0030,,
B5063,RLBC002,1296,"Apr 9, 2025 12:00 AM"
S5068,FJSL003,5600,"Apr 4, 2025 12:00 AM"
C5088,PFJPGM020,5208,"Apr 3, 2025 12:00 AM"
,RRBM004,2081,"Mar 31, 2025 12:00 AM"
H5021,AOSP000,,
E5012,PFJLO0010,,"Apr 2, 2025 12:00 AM"
B5064,BMLHW0030,,
B5065,BAOBC0000,,
C5089,BFJCR0020,,
C5114,BFJCR0020,800,"Apr 22, 2025 12:00 AM"
C5090,BFJCR0050,,
B5026,BTBC004,233,"Apr 7, 2025 12:00 AM"
B5058,BTBC005,,
B5056,BTBC006,978,"Apr 9, 2025 12:00 AM"
B5055,BTBC007,1000,"Apr 7, 2025 12:00 AM"
B5065,AOBC000,1313,"Apr 7, 2025 12:00 AM"
,MLHW003,,
C5089,PFJCR0020,2161,"Apr 7, 2025 12:00 AM"
C5089,PFJCRT020,4891,"Apr 10, 2025 12:00 AM"
S5071,BBTDM0020,690,"Apr 8, 2025 12:00 AM"
S5071,BTDM002,1351,"Apr 10, 2025 12:00 AM"
,FJCR005,,
S5048,FJSL007,153,"Mar 25, 2025 12:00 AM"
C4237,FJCR009,149,"Mar 25, 2025 12:00 AM"
B5029,BTBC006,765,"Mar 26, 2025 12:00 AM"
S5056,PFJSL0020,1980,"Mar 25, 2025 12:00 AM"
H5015,BCCHP0010,1000,"Mar 13, 2025 12:00 AM"
H5016,BCCHP0010,1000,"Mar 13, 2025 12:00 AM"
B5041,BPDIR0030,500,"Mar 18, 2025 12:00 AM"
B5045,PFJOFM020,8750,"Mar 26, 2025 12:00 AM"
C5083,FJFC002,5500,"Mar 26, 2025 12:00 AM"
B5031,PBTBC0050,765,"Mar 26, 2025 12:00 AM"
B5024,PBTBO0030,640,"Mar 26, 2025 12:00 AM"
,FJFC002,,
H5029,BAJSP0020,2000,"May 2, 2025 12:00 AM"
H5028,BAJSP0020,2000,"Apr 30, 2025 12:00 AM"
H5030,BAJSP0020,550,"May 2, 2025 12:00 AM"
H5028,AJSP002,1320,"May 7, 2025 12:00 AM"
M5049,BADML0000,1000,"Apr 8, 2025 12:00 AM"
M5050,BADML0000,1000,"Apr 8, 2025 12:00 AM"
M5051,BADML0000,1000,"Apr 9, 2025 12:00 AM"
,ADML000,,
B5094,BRMSG0010,2100,"May 15, 2025 12:00 AM"
B5095,BRMSG0020,2100,"May 15, 2025 12:00 AM"
M5064,BRMBL0000,1000,"May 19, 2025 12:00 AM"
M5065,BRMBL0000,1000,"May 19, 2025 12:00 AM"
C5097,BFJPK0010,550,"Apr 11, 2025 12:00 AM"
B5094,PRMSG0010,6892,"May 16, 2025 12:00 AM"
B5095,PRMSG0020,2522,"May 16, 2025 12:00 AM"
E5014,FJLM002,1260,"Mar 27, 2025 12:00 AM"
M5047,BADML0000,1000,"Apr 7, 2025 12:00 AM"
M5048,BADML0000,1000,"Apr 7, 2025 12:00 AM"
S5051,PRRBM0010,1284,"Mar 31, 2025 12:00 AM"
