lot_number,manufacturing_date
B5173,2025-08-28
B5174,2025-08-25
B5174,2025-08-28
B5199,2025-08-25
B5199,2025-08-29
B5199,2025-09-03
B5199,2025-09-30
B5199,2025-10-27
B5200,2025-08-26
B5201,2025-08-26
B5201,2025-08-27
B5201,2025-08-28
B5202,2025-08-27
B5202,2025-08-29
B5203,2025-08-27
B5203,2025-08-29
B5203,2025-09-03
B5204,2025-08-28
B5204,2025-09-01
B5204,2025-11-12
B5205,2025-09-01
B5205,2025-09-03
B5207,2025-08-29
B5207,2025-09-01
B5208,2025-09-02
B5208,2025-09-04
B5208,2025-09-15
B5209,2025-09-02
B5209,2025-09-04
B5209,2025-09-05
B5209,2025-09-17
B5209,2025-09-16
B5210,2025-09-03
B5210,2025-09-05
B5210,2025-09-16
B5211,2025-09-03
B5211,2025-09-08
B5212,2025-09-03
B5212,2025-09-05
B5212,2025-09-08
B5213,2025-09-02
B5214,2025-09-05
B5214,2025-09-08
B5215,2025-09-08
B5215,2025-09-09
B5216,2025-09-05
B5216,2025-09-08
B5217,2025-09-09
B5217,2025-09-10
B5218,2025-09-09
B5218,2025-09-10
B5219,2025-09-11
B5220,2025-09-12
B5220,2025-09-19
B5220,2025-11-05
B5220,2025-11-17
B5221,2025-09-16
B5221,2025-09-23
B5222,2025-09-16
B5222,2025-09-23
B5223,2025-09-17
B5223,2025-09-19
B5223,2025-09-23
B5224,2025-09-17
B5224,2025-09-23
B5225,2025-09-18
B5225,2025-09-23
B5225,2025-09-24
B5226,2025-09-18
B5226,2025-09-24
B5226,2025-09-29
B5227,2025-09-19
B5227,2025-09-29
B5228,2025-09-19
B5228,2025-09-30
B5229,2025-09-22
B5229,2025-09-26
B5229,2025-09-30
B5230,2025-09-22
B5230,2025-09-30
B5231,2025-09-22
B5231,2025-09-24
B5231,2025-09-25
B5232,2025-09-22
B5232,2025-09-25
B5233,2025-09-23
B5233,2025-09-24
B5234,2025-09-23
B5234,2025-09-25
B5234,2025-09-24
B5235,2025-09-24
B5235,2025-09-25
B5236,2025-09-24
B5237,2025-09-25
B5238,2025-09-25
B5238,2025-09-26
B5239,2025-09-25
B5239,2025-09-26
B5239,2025-10-23
B5240,2025-09-26
B5240,2025-09-29
B5241,2025-09-26
B5241,2025-09-29
B5242,2025-09-29
B5242,2025-09-30
B5243,2025-09-30
B5243,2025-10-10
B5243,2025-10-13
B5244,2025-09-30
B5244,2025-10-01
B5245,2025-09-30
B5245,2025-10-01
B5246,2025-09-30
B5246,2025-10-01
B5247,2025-10-01
B5247,2025-10-02
B5248,2025-10-01
B5248,2025-10-02
B5249,2025-10-02
B5249,2025-10-13
B5249,2025-12-01
B5249,2025-12-11
B5249,2025-12-12
B5250,2025-10-13
B5250,2025-10-02
B5251,2025-10-02
B5252,2025-10-10
B5252,2025-10-02
B5252,2025-10-28
B5252,2025-10-29
B5253,2025-10-10
B5253,2025-10-13
B5253,2025-10-14
B5253,2025-11-06
B5254,2025-10-10
B5254,2025-10-13
B5254,2025-10-16
B5255,2025-10-13
B5255,2025-10-14
B5256,2025-10-13
B5256,2025-10-14
B5257,2025-10-14
B5257,2025-10-27
B5258,2025-10-15
B5258,2025-10-27
