lot_number,manufacturing_date
S5197,2025-11-13
S5198,2025-10-17
S5198,2025-10-21
S5198,2025-10-22
S5199,2025-10-30
S5199,2025-10-20
S5199,2025-10-21
S5200,2025-10-24
S5200,2025-10-28
S5200,2025-10-29
S5201,2025-10-24
S5201,2025-10-30
S5202,2025-10-28
S5202,2025-10-30
S5203,2025-11-04
S5203,2025-11-05
S5204,2025-10-29
S5204,2025-10-30
S5204,2025-10-31
S5205,2025-10-30
S5205,2025-10-31
S5206,2025-10-31
S5207,2025-11-03
S5207,2025-11-04
S5208,2025-11-12
S5208,2025-11-13
S5209,2025-11-13
S5209,2025-11-17
S5210,2025-11-14
S5210,2025-11-17
S5211,2025-11-14
S5211,2025-11-17
S5212,2025-11-17
S5212,2025-11-18
S5213,2025-11-18
S5214,2025-11-20
S5214,2025-11-21
S5214,2025-11-24
S5214,2025-11-25
S5215,2025-11-20
S5215,2025-12-03
S5215,2025-12-09
S5215,2025-12-10
S5216,2025-11-21
S5216,2025-11-27
S5216,2025-11-26
S5216,2025-11-28
S5217,2025-11-24
S5217,2025-11-26
S5217,2025-11-27
S5217,2025-12-01
S5217,2025-11-28
S5217,2025-12-02
S5218,2025-11-25
S5218,2025-12-01
S5218,2025-12-03
S5218,2025-12-02
S5219,2025-11-26
S5219,2025-12-02
S5219,2025-12-03
S5220,2025-11-27
S5220,2025-12-02
S5220,2025-12-04
S5221,2025-11-27
S5221,2025-12-04
S5221,2025-12-05
S5222,2025-11-28
S5222,2025-12-04
S5222,2025-12-05
S5223,2025-11-21
S5223,2025-12-03
S5223,2025-12-09
S5223,2025-12-10
S5224,2025-11-24
S5224,2025-12-03
S5224,2025-12-08
S5224,2025-12-09
S5224,2025-12-10
S5225,2025-11-28
S5225,2025-12-08
S5225,2025-12-09
S5226,2025-12-01
S5226,2025-12-03
S5226,2025-12-04
S5226,2025-12-05
S5227,2025-12-18
S5227,2025-12-01
S5228,2025-12-10
S5228,2025-12-12
S5229,2025-12-11
S5229,2025-12-17
S5230,2025-12-15
S5230,2025-12-17
S5230,2025-12-18
S5231,2025-12-16
S5231,2025-12-17
S5232,2025-12-16
S5232,2025-12-18
S5233,2025-12-19
S5233,2025-12-23
S5234,2025-12-23
YA001,2025-04-04
YA001,2025-04-07
YA001,2025-07-01
YA001,2025-07-08
YA001,2025-07-21
YA001,2025-09-04
